,tweet_processed,Topics
1910,covid southafrican variant detected in india how effective are covaxin covishield vaccines,cases
362,this data sadly will now become a political football as  try to hang on to power - rather than inform change amp; future proof sector   gov failure to plan for and manage the covidcrisis  has caused harm  ,cases
361,it's not over covidcrisis covid publicinquiry wearamask johnsonout protectnhs democide torylies getborisout torycorruption russiareport toryincompetence saveournhs boristheliar wealthtax taxtherich longcovid windfalltax toriesout hoyleout sosnhs ,cases
1223,corona dose not to feel only to listen,cases
353,"keeping our drivers and customers safe with our new hand sanitizers 
sanitation sanitizer safety dallas dallasbusiness dallastrucking dallasfreightbroker freightbroker businessevents transportation supplychain womenintrucking traylortranspo traylortrap ",cases
1227,wary of the covid- infection vadodara police have been avoiding arrests of offenders booked for non-serious crimes in the city,cases
1238,we are now open after this corona epidemic the entire showroom is disinfected by sanitiserfor the sake of our customer and our safety we have provided protective mask to all our staffs regular spraying and wiping,cases
1241,covid protection solutions howrah,cases
1255,contribute for covid- fighters kolkata,cases
1260,covid shoot for broadview tv germany,cases
328,help slow the spread of covid and identify at risk cases sooner by self-reporting your symptoms daily even if you feel well  download the app ,cases
325,i woke up early to make two different meal plans: regular and meatless i have no clue what the status of the grocery store will look like today  covid,cases
319,for parents who plan to get their child vaccinated experts had advice on what to expect and how to prepare children my latest story covid covid covidvaccine ,cases
317,if you are due a covid- jab but have recently tested positive for the virus you will need to wait at least four weeks before having your vaccination full story: ,cases
312,"great evidence to use to encourage covid vaccination in pregnancy
covidvaccine pregnancy placentitis 

 ",cases
1323,study finds covid- vaccination increases risk of death by at least  its just a scam disgusting and bad,cases
1202,test lab on wheels in haryana for coronavirus,cases
1200,test lab on wheels in kerala for coronavirus,cases
1199,test lab on wheels in jk for coronavirus,cases
1198,test lab on wheels in goa for coronavirus,cases
404,"india ministry of health said it had recorded two cases of new covid variant but which officials said they were not unduly worried about

covid corona coronavirus coronavirusupdates newvariant 
",cases
402,india reports new variant of covid-; know risks symptoms other details coronaviruslatestnews covidpandemic newcoronavirusvariant newcovidvarian newvariant whenwillpandemicend ,cases
401,"omicron ba sub-variant nearly a quarter of newcovidcases in us 
newvariant
covid surgeofcases

",cases
399,"coronavirus updates: israel reported new covid- variant

israel coronavirusupdate newvariant covid latestnews pragnews  

",cases
395,a new covid variant not yet known to the world just touched down in israel covid newvariant  ,cases
